"service_id","date","exception_type"
"Koulp","20171016","2"
"Koulp","20171017","2"
"Koulp","20171018","2"
"Koulp","20171019","2"
"Koulp","20171020","2"
"Koulp","20171206","2"
"Koulp","20171222","2"
"Koulp","20171225","2"
"Koulp","20171226","2"
"Koulp","20171227","2"
"Koulp","20171228","2"
"Koulp","20171229","2"
"Koulp","20180101","2"
"Koulp","20180102","2"
"Koulp","20180103","2"
"Koulp","20180104","2"
"Koulp","20180105","2"
"Koulp","20180226","2"
"Koulp","20180227","2"
"Koulp","20180228","2"
"Koulp","20180301","2"
"Koulp","20180302","2"
"Koulp","20180330","2"
"Koulp","20180402","2"
"Koulp","20180501","2"
"Koulp","20180510","2"
"Koulp pe","20171222","2"
"Koulp pe","20171229","2"
"Koulp pe","20180105","2"
"Koulp pe","20180302","2"
"Koulp pe","20180330","2"
"L - kesä","20170623","1"
"L - kesä","20170624","2"
"L - talvi","20171104","2"
"L - talvi","20180106","2"
"M-P kesä","20170623","2"
"M-P koulujen lomapäivinä","20171215","2"
"M-P koulujen lomapäivinä","20171218","2"
"M-P koulujen lomapäivinä","20171219","2"
"M-P koulujen lomapäivinä","20171220","2"
"M-P koulujen lomapäivinä","20171221","2"
"M-P koulujen lomapäivinä","20171225","2"
"M-P koulujen lomapäivinä","20171226","2"
"M-P koulujen lomapäivinä","20180101","2"
"M-P koulujen lomapäivinä","20180108","2"
"M-P koulujen lomapäivinä","20180109","2"
"M-P koulujen lomapäivinä","20180110","2"
"M-P koulujen lomapäivinä","20180111","2"
"M-P koulujen lomapäivinä","20180112","2"
"M-P koulujen lomapäivinä","20180115","2"
"M-P koulujen lomapäivinä","20180116","2"
"M-P koulujen lomapäivinä","20180117","2"
"M-P koulujen lomapäivinä","20180118","2"
"M-P koulujen lomapäivinä","20180119","2"
"M-P koulujen lomapäivinä","20180122","2"
"M-P koulujen lomapäivinä","20180123","2"
"M-P koulujen lomapäivinä","20180124","2"
"M-P koulujen lomapäivinä","20180125","2"
"M-P koulujen lomapäivinä","20180126","2"
"M-P koulujen lomapäivinä","20180129","2"
"M-P koulujen lomapäivinä","20180130","2"
"M-P koulujen lomapäivinä","20180131","2"
"M-P koulujen lomapäivinä","20180201","2"
"M-P koulujen lomapäivinä","20180202","2"
"M-P koulujen lomapäivinä","20180205","2"
"M-P koulujen lomapäivinä","20180206","2"
"M-P koulujen lomapäivinä","20180207","2"
"M-P koulujen lomapäivinä","20180208","2"
"M-P koulujen lomapäivinä","20180209","2"
"M-P koulujen lomapäivinä","20180212","2"
"M-P koulujen lomapäivinä","20180213","2"
"M-P koulujen lomapäivinä","20180214","2"
"M-P koulujen lomapäivinä","20180215","2"
"M-P koulujen lomapäivinä","20180216","2"
"M-P koulujen lomapäivinä","20180219","2"
"M-P koulujen lomapäivinä","20180220","2"
"M-P koulujen lomapäivinä","20180221","2"
"M-P koulujen lomapäivinä","20180222","2"
"M-P koulujen lomapäivinä","20180223","2"
"M-P koulujen lomapäivinä","20180305","2"
"M-P koulujen lomapäivinä","20180306","2"
"M-P koulujen lomapäivinä","20180307","2"
"M-P koulujen lomapäivinä","20180308","2"
"M-P koulujen lomapäivinä","20180309","2"
"M-P koulujen lomapäivinä","20180312","2"
"M-P koulujen lomapäivinä","20180313","2"
"M-P koulujen lomapäivinä","20180314","2"
"M-P koulujen lomapäivinä","20180315","2"
"M-P koulujen lomapäivinä","20180316","2"
"M-P koulujen lomapäivinä","20180319","2"
"M-P koulujen lomapäivinä","20180320","2"
"M-P koulujen lomapäivinä","20180321","2"
"M-P koulujen lomapäivinä","20180322","2"
"M-P koulujen lomapäivinä","20180323","2"
"M-P koulujen lomapäivinä","20180326","2"
"M-P koulujen lomapäivinä","20180327","2"
"M-P koulujen lomapäivinä","20180328","2"
"M-P koulujen lomapäivinä","20180329","2"
"M-P koulujen lomapäivinä","20180330","2"
"M-P koulujen lomapäivinä","20180402","2"
"M-P koulujen lomapäivinä","20180403","2"
"M-P koulujen lomapäivinä","20180404","2"
"M-P koulujen lomapäivinä","20180405","2"
"M-P koulujen lomapäivinä","20180406","2"
"M-P koulujen lomapäivinä","20180409","2"
"M-P koulujen lomapäivinä","20180410","2"
"M-P koulujen lomapäivinä","20180411","2"
"M-P koulujen lomapäivinä","20180412","2"
"M-P koulujen lomapäivinä","20180413","2"
"M-P koulujen lomapäivinä","20180416","2"
"M-P koulujen lomapäivinä","20180417","2"
"M-P koulujen lomapäivinä","20180418","2"
"M-P koulujen lomapäivinä","20180419","2"
"M-P koulujen lomapäivinä","20180420","2"
"M-P koulujen lomapäivinä","20180423","2"
"M-P koulujen lomapäivinä","20180424","2"
