"trans_id","lang","translation"
"13M TORI-KORPILAHTI","sv",""
"Jyväskylän Pusatec POP-UP","sv","Jyväskylän Pusatec POP-UP"
"R-kioski Huhtasuo Nevakatu 1","sv","R-kioski Huhtasuo Nevakatu 1"
"R-kioski Kangasvuori Kangasvuorentie 4","sv","R-kioski Kangasvuori Kangasvuorentie 4"
"R-kioski Kauppakeskus Forum Kävelykatu","sv","R-kioski Kauppakeskus Forum Kävelykatu"
"R-kioski Keltinmäki Keltinmäentie 13","sv","R-kioski Keltinmäki Keltinmäentie 13"
"R-kioski Keskusta Puistokatu 15","sv","R-kioski Keskusta Puistokatu 15"
"R-kioski Korpilahti Korpilahdentie 5","sv","R-kioski Korpilahti Korpilahdentie 5"
"R-kioski Kuokkala Syöttäjänkatu 2","sv","R-kioski Kuokkala Syöttäjänkatu 2"
"R-kioski Palokka Koivutie 2","sv","R-kioski Palokka Koivutie 2"
"R-kioski Vaajakoski Vesmannintie 4","sv","R-kioski Vaajakoski Vesmannintie 4"
"R-kioski Viitaniemi Sepänkatu 7","sv","R-kioski Viitaniemi Sepänkatu 7"
"R-kioski Voionmaankatu 15","sv","R-kioski Voionmaankatu 15"
"Testipysäkki","sv","Teststop"
"TORI-KORPILAHTI","sv",""
